wikiStats|mk

redirects|7436
r|Шаблон:Finnish Regions|Шаблон:Карта на регионите во Финска
r|Шаблон:HRV|Шаблон:ХРВ
r|Шаблон:Flat list|Шаблон:Раменсписок
r|Шаблон:ПозКарта Република Македонија|Шаблон:ПозКарта Македонија
r|Шаблон:Repeat/1|Шаблон:Повтори/1
r|Шаблон:Инфокутија-населено место|Шаблон:Инфокутија Населено место
r|Шаблон:Country data MAS|Шаблон:Country data Малезија
r|Шаблон:Country data ЕРМ|Шаблон:Country data Ерменија
r|Шаблон:Lts/|Шаблон:Ншк/
r|Шаблон:Coor at dms|Шаблон:Coor
r|Шаблон:Објаснување за игра|Шаблон:Образложение за игра
r|Шаблон:Taxonomy/Борови|Шаблон:Автотаксономија/Борови
r|Шаблон:ПозКарта England|Шаблон:ПозКарта Англија
r|Шаблон:ПозКарта Yugoslavia|Шаблон:ПозКарта Југославија
r|Шаблон:Fact|Шаблон:Се бара извор
r|Шаблон:Largest cities|Шаблон:Најголеми градови
r|Шаблон:PD-author|Шаблон:Јс-автор
r|Шаблон:Екваторијална Гвинеја на Олимпијада|Шаблон:Екваторска Гвинеја на Олимпијада
r|Шаблон:Taxonomy/Влекачолики/skip|Шаблон:Автотаксономија/Влекачолики/skip
r|Шаблон:Infobox Greek deity|Шаблон:Инфокутија Божество
r|Шаблон:Taxonomy/Брзоноги|Шаблон:Автотаксономија/Брзоноги
r|Шаблон:NZ-geo-stub|Шаблон:НовЗеланд-гео-никулец
r|Шаблон:Taxonomy/|Шаблон:Автотаксономија/
r|Шаблон:MedalRU|Шаблон:МедалВторо
r|Шаблон:Инфокутија многуаголник|Шаблон:Инфокутија Многуаголник
r|Шаблон:Location map Northern Ireland|Шаблон:ПозКарта Северна Ирска
r|Шаблон:Location map Грција|Шаблон:ПозКарта Грција
r|Шаблон:Маш-инжен-никулец|Шаблон:Никулец од областа на машинското инженерство
r|Шаблон:IPA-ee|Шаблон:МФА-сите
r|Шаблон:Cat topic in year|Шаблон:КатТемаГодини
r|Шаблон:Infobox Restaurant|Шаблон:Инфокутија Ресторан
r|Шаблон:Official website|Шаблон:Матична
r|Шаблон:ПозКарта Northern Ireland|Шаблон:ПозКарта Северна Ирска
r|Шаблон:NOCAPS|Шаблон:Nocaps
r|Шаблон:Libya-stub|Шаблон:Либија-никулец
r|Шаблон:Mn icon|Шаблон:Mn
r|Шаблон:Hb-big|Шаблон:МРР-големо
r|Шаблон:Mil-stub|Шаблон:Војска-никулец
r|Шаблон:Consonants|Шаблон:Согласки
r|Шаблон:Conduct policy list|Шаблон:Начела за поведение
r|Шаблон:Country data Flemish Brabant|Шаблон:Country data Фламански Брабант
r|Шаблон:EventsAt2008SummerOlympics|Шаблон:Спортови на Летните олимписки игри 2008
r|Шаблон:ПозКарта Laos|Шаблон:ПозКарта Лаос
r|Шаблон:IND|Шаблон:ИНД
r|Шаблон:Infobox Bulgarian province|Шаблон:Област во Бугарија
r|Шаблон:Cuba-geo-stub|Шаблон:Куба-гео-никулец
r|Шаблон:Clickable world map|Шаблон:Карта на светот со врски
r|Шаблон:Infobox Swiss town|Шаблон:Место во Швајцарија
r|Шаблон:Topography-stub|Шаблон:Топографија-никулец
r|Шаблон:Infobox Aircraft begin|Шаблон:Инфокутија Воздухоплов Почеток
r|Шаблон:Cycling data LEO|Шаблон:Cycling data TFR
r|Шаблон:Country data ТУР|Шаблон:Country data Турција
r|Шаблон:Country data ГРЦ|Шаблон:Country data Грција
r|Шаблон:URS|Шаблон:СССР
r|Шаблон:Air force|Шаблон:Воено воздухопловство
r|Шаблон:Country data Kingdom of Bavaria|Шаблон:Country data Кралство Баварија
r|Шаблон:Native phrase|Шаблон:Изворно име
r|Шаблон:Country data Isle of Wight|Шаблон:Country data Вајт
r|Шаблон:ГП Уест-Франција|Шаблон:ГП Западна Франција
r|Шаблон:Country data Federated States of Micronesia|Шаблон:Country data Микронезија
r|Шаблон:Инфокутија Воена Единица|Шаблон:Воена единица
r|Шаблон:Geological era|Шаблон:Геолошка ера
r|Шаблон:Fuji Five Lakes|Шаблон:Пет езера на Фуџи
r|Шаблон:Infobox Artifact|Шаблон:Инфокутија Артефакт
r|Шаблон:Okina|Шаблон:Окина
r|Шаблон:Meals|Шаблон:Оброци
r|Шаблон:Done-t|Шаблон:Готово-т
r|Шаблон:ICD10/doc|Шаблон:МКБ10/doc
r|Шаблон:Локација маркер|Шаблон:Location map marker
r|Шаблон:PNG|Шаблон:ПНГ
r|Шаблон:Registration required|Шаблон:Бара регистрација
r|Шаблон:Geologic timescale category|Шаблон:Категорија за геолошки период
r|Шаблон:Country data Somalia|Шаблон:Country data Сомалија
r|Шаблон:Country data SR Macedonia|Шаблон:Country data СР Македонија
r|Шаблон:ПозКарта Тибет|Шаблон:ПозКарта Кина Тибет
r|Шаблон:Никулец за географијата на Албанија|Шаблон:Албанија-гео-никулец
r|Шаблон:South America topic|Шаблон:Јужна Америка по тема
r|Шаблон:GHA|Шаблон:ГХА
r|Шаблон:ПозКарта Burma|Шаблон:ПозКарта Мјанмар
r|Шаблон:ПозКарта Somaliland|Шаблон:ПозКарта Сомалиленд
r|Шаблон:Country data ИРС|Шаблон:Country data Ирска
r|Шаблон:Alkanes|Шаблон:Алкани
r|Шаблон:Taxonomy/Клештари|Шаблон:Автотаксономија/Клештари
r|Шаблон:World Olympic Record|Шаблон:СР и ОР
r|Шаблон:US Census population|Шаблон:ПописСАДНаселение
r|Шаблон:Japan-bio-stub|Шаблон:Јапонија-био-никулец
r|Шаблон:Fs player|Шаблон:Фудбалски состав играч
r|Шаблон:Country data Меѓународен олимписки комитет|Шаблон:Country data IOC
r|Шаблон:User mk-0|Шаблон:Корисник mk-0
r|Шаблон:Шведска-биог-никулец|Шаблон:Шведска-био-никулец
r|Шаблон:Country data Styria|Шаблон:Country data Штаерска
r|Шаблон:Country flag alias Qatar|Шаблон:Country flag alias Катар
r|Шаблон:Хари Потер лик|Шаблон:Инфокутија Хари Потер лик
r|Шаблон:Picture of the day|Шаблон:Слика на денот
r|Шаблон:Sweden-bio-stub|Шаблон:Шведска-био-никулец
r|Шаблон:Infobox award/doc|Шаблон:Инфокутија Награда/doc
r|Шаблон:Country data West Germany|Шаблон:Country data Западна Германија
r|Шаблон:Инфокутија Законодавно тело|Шаблон:Инфокутија Парламент
r|Шаблон:Wikiquotelang|Шаблон:Викицитат-јазик
r|Шаблон:Cycling data GIA|Шаблон:Cycling data TGA
r|Шаблон:Widescreen monitor resolutions|Шаблон:Разложености на широкоекрански монитори
r|Шаблон:Internet-domain-stub|Шаблон:Домен-никулец
r|Шаблон:USSR-bio-stub|Шаблон:СССР-био-никулец
r|Шаблон:Persian arts|Шаблон:Персиска уметност
r|Шаблон:Languages by continent templates|Шаблон:Шаблони за јазици по континент
r|Шаблон:Fossil range/Sandbox|Шаблон:Геолошки опсег
r|Шаблон:Macedonian presidential election, 2009|Шаблон:Македонски претседателски избори, 2009
r|Шаблон:Infobox ancient site|Шаблон:Инфокутија Археолошко наоѓалиште
r|Шаблон:Incomplete-list|Шаблон:Нецелосен список
r|Шаблон:Инфокутија-време/doc|Шаблон:Климатска табела/doc
r|Шаблон:Листа на принципи|Шаблон:Список на начела
r|Шаблон:Населени места во општина Кичево|Шаблон:Општина Кичево
r|Шаблон:Infobox catalog/doc|Шаблон:Инфокутија Библиотечна класификација/doc
r|Шаблон:Otheruses2|Шаблон:Другизначења2
r|Шаблон:Северна Рајна-Вестфалија|Шаблон:Окрузи во Северна Рајна-Вестфалија
r|Шаблон:Languageicon/Notes|Шаблон:Јазична икона/Белешки
r|Шаблон:ПозКарта Eritrea|Шаблон:ПозКарта Еритреја
r|Шаблон:Country data BAN|Шаблон:Country data Бангладеш
r|Шаблон:Општина во Бугарија|Шаблон:Област во Бугарија
r|Шаблон:Flagicon image|Шаблон:Знаменце
r|Шаблон:Glaciers of Iceland|Шаблон:Ледници во Исланд
r|Шаблон:He icon|Шаблон:He
r|Шаблон:Infobox Russian federal district|Шаблон:Инфокутија за руски федерален округ
r|Шаблон:Country data ТИТ|Шаблон:Country data Тринидад и Тобаго
r|Шаблон:Astronomer-stub|Шаблон:Астроном-никулец
r|Шаблон:Refs|Шаблон:Наводи
r|Шаблон:Country data КИН|Шаблон:Country data Кина
r|Шаблон:Taxonomy/Ѕвероноги|Шаблон:Автотаксономија/Ѕвероноги
r|Шаблон:Држави во Јужна Африка|Шаблон:Држави во Африка
r|Шаблон:ARU|Шаблон:АРУ
r|Шаблон:Footer Films Quentin Tarantino|Шаблон:Тарантино навигација
r|Шаблон:Svg|Шаблон:Да се претвори во SVG
r|Шаблон:Sportscentcat|Шаблон:Спортвеккат
r|Шаблон:Cities and towns in Euskirchen (district)|Шаблон:Градови во Ојскирхен (округ)
r|Шаблон:Reduced pull quote|Шаблон:Смален цитатник
r|Шаблон:Association of National Olympic Committees|Шаблон:ЗНОК
r|Шаблон:Country data Tyrol|Шаблон:Country data Тирол
r|Шаблон:Taxobox/core|Шаблон:Таксономија/основна
r|Шаблон:Infobox glacier|Шаблон:Инфокутија Ледник
r|Шаблон:Објаснување за неслободна употреба|Шаблон:Образложение за неслободна употреба
r|Шаблон:Unblock|Шаблон:Одблокирање
r|Шаблон:Taxonomy/Птицоѕвероноги|Шаблон:Автотаксономија/Птицоѕвероноги
r|Шаблон:Инфокутија континент|Шаблон:Инфокутија Континент
r|Шаблон:Инфокутија Стрип јунак|Шаблон:Инфокутија Лик од стрип
r|Шаблон:Држави во Јужна Азија|Шаблон:Држави во Азија
r|Шаблон:Простознаме/core|Шаблон:Простознаме/јадро
r|Шаблон:Архивна листа|Шаблон:Архивна врска
r|Шаблон:Piston engine configurations|Шаблон:Конфигурација на клипни мотори
r|Шаблон:Cn icon|Шаблон:Zh
r|Шаблон:Organic-compound-stub|Шаблон:Органско соединение-никулец
r|Шаблон:Политики на Туркменистан|Шаблон:Политика на Туркменистан
r|Шаблон:Country data Florida|Шаблон:Country data Флорида
r|Шаблон:Infobox given name|Шаблон:Инфокутија Лично име
r|Шаблон:Cycling data LET|Шаблон:Cycling data LDT
r|Шаблон:Држави на Океанија|Шаблон:Држави и територии на Океанија
r|Шаблон:Country flag alias USA|Шаблон:Country flag alias САД
r|Шаблон:ROU|Шаблон:РОМ
r|Шаблон:Electiontable|Шаблон:Избори-таблица
r|Шаблон:Ref label|Шаблон:Нав одбележувач
r|Шаблон:Австро-азиски-јазик-никулец|Шаблон:Австроазиски-јазик-никулец
r|Шаблон:Country data ИСЛ|Шаблон:Country data Исланд
r|Шаблон:Filmyr|Шаблон:Филмгд
r|Шаблон:Инициијатива 2009-година на астрономијата|Шаблон:Иницијатива 2009-година на астрономијата
r|Шаблон:Departments of France|Шаблон:Департмани во Франција
r|Шаблон:Realm of New Zealand|Шаблон:Кралство Нов Зеланд
r|Шаблон:Локациска карта Италија|Шаблон:ПозКарта Италија
r|Шаблон:МакЛит|Шаблон:Македонска книжевност
r|Шаблон:Country data Светска здравствена организација|Шаблон:Country data СЗО
r|Шаблон:Taxonomy/Атлантски цицачи|Шаблон:Автотаксономија/Атлантски цицачи
r|Шаблон:Белковина|Шаблон:Инфокутија Белковина
r|Шаблон:SinglesCat|Шаблон:СингловиКат
r|Шаблон:Infobox bone|Шаблон:Инфокутија Коска
r|Шаблон:Country data VCT|Шаблон:Country data Свети Винцент и Гренадините
r|Шаблон:MinorPlanets Footer|Шаблон:Мали тела во сончевиот систем
r|Шаблон:Country data Connacht|Шаблон:Country data Конахт
r|Шаблон:ПозКарта Netherlands Dutch railway station|Шаблон:ПозКарта Холандија Железничка станица
r|Шаблон:Location map New Zealand North Island|Шаблон:ПозКарта Нов Зеланд Северен Остров
r|Шаблон:Белгија-биог-никулец|Шаблон:Белгија-био-никулец
r|Шаблон:Taxonomy/Розиди|Шаблон:Автотаксономија/Розиди
r|Шаблон:Infobox holiday|Шаблон:Инфокутија Празник
r|Шаблон:Региони и предели во Долна Саксонија|Шаблон:Региони и предели на Долна Саксонија
r|Шаблон:New Zealand election, 2008|Шаблон:Новозеландски избори, 2008
r|Шаблон:Country data РУА|Шаблон:Country data Руанда
r|Шаблон:Country flag alias Lebanon|Шаблон:Country flag alias Либан
r|Шаблон:Country data АЛБ|Шаблон:Country data Албанија
r|Шаблон:MedalRelatedTemplates|Шаблон:МедалПоврзаниШаблони
r|Шаблон:Инфо|Шаблон:Инфокутија за личност
r|Шаблон:Infobox Military Conflict|Шаблон:Инфокутија Вооружен судир
r|Шаблон:Тврдини во Хрватска|Шаблон:Тврдини и замоци во Хрватска
r|Шаблон:СР Југославија|Шаблон:СРЈ
r|Шаблон:Taxonomy/Леканоромицетиди|Шаблон:Автотаксономија/Леканоромицетиди
r|Шаблон:Designation|Шаблон:Знаменитост
r|Шаблон:Cy icon|Шаблон:Cy
r|Шаблон:CSS image crop|Шаблон:Исечок од слика
r|Шаблон:CatAZ|Шаблон:КатАШ
r|Шаблон:Cycling data SAX|Шаблон:Cycling data TTS
r|Шаблон:Infobox language/Indic|Шаблон:Infobox language/Индиски
r|Шаблон:Taxonomy/Лепидосауруси|Шаблон:Автотаксономија/Лепидосауруси
r|Шаблон:NCBI|Шаблон:NCBI taxid
r|Шаблон:Country data American Samoa|Шаблон:Country data Американска Самоа
r|Шаблон:Infobox Windows component|Шаблон:Инфокутија Дел од Windows
r|Шаблон:Country data Kingdom of Serbs, Croats and Slovenes|Шаблон:Country data Кралство Југославија
r|Шаблон:FAQ|Шаблон:ЧПП
r|Шаблон:Velar|Шаблон:Заднонепчена согласка
r|Шаблон:TVyr|Шаблон:ТВгд
r|Шаблон:Country data Campania|Шаблон:Country data Кампанија
r|Шаблон:South America Labelled Map|Шаблон:Означена карта на Јужна Америка
r|Шаблон:Држави во Југозападна Азија|Шаблон:Држави во Азија
r|Шаблон:Infobox German Regierungsbezirk|Шаблон:Инфокутија Германски административен округ
r|Шаблон:SI префикси|Шаблон:SI-претставки
r|Шаблон:Nasal stop|Шаблон:Носна избувна согласка
r|Шаблон:ПозКарта Nordland|Шаблон:ПозКарта Нурлан
r|Шаблон:SyrianPresidents|Шаблон:Претседатели на Сирија
r|Шаблон:Инфокутија Дијагностика|Шаблон:Инфокутија дијагностика
r|Шаблон:Non-free fair use in|Шаблон:Праведна употреба во
r|Шаблон:Градови во Источен Пригниц (округ)|Шаблон:Градови во Источен Пригниц-Рупин (округ)
r|Шаблон:Country data ВЕН|Шаблон:Country data Венецуела
r|Шаблон:Видеоигри-никулец|Шаблон:Видеоигра-никулец
r|Шаблон:ФА куп|Шаблон:Трофеј-ФА куп
r|Шаблон:Location map~|Шаблон:ПозКарта~
r|Шаблон:NorthAm-native-stub|Шаблон:Индијанци никулец
r|Шаблон:Infobox Company|Шаблон:Инфокутија Претпријатие
r|Шаблон:Country data the United Kingdom|Шаблон:Country data Обединето Кралство
r|Шаблон:Country data АТГ|Шаблон:Country data Антигва и Барбуда
r|Шаблон:Country data São Tomé and Príncipe|Шаблон:Country data Сао Томе и Принсипе
r|Шаблон:Country data Italy|Шаблон:Country data Италија
r|Шаблон:Country data North Borneo|Шаблон:Country data Северно Борнео
r|Шаблон:Audiovisual works|Шаблон:Меѓународни броеви
r|Шаблон:Country data ГАБ|Шаблон:Country data Габон
r|Шаблон:Nasal|Шаблон:Носна согласка
r|Шаблон:ПозКарта Virginia|Шаблон:ПозКарта САД Вирџинија
r|Шаблон:Фосилен опсег/Sandbox|Шаблон:Геолошки опсег
r|Шаблон:SVG лого|Шаблон:SVG-лого
r|Шаблон:ПозКарта Panama|Шаблон:ПозКарта Панама
r|Шаблон:Cycling data GBM|Шаблон:Cycling data RIS
r|Шаблон:Nuclear physics|Шаблон:Нуклеарна физика
r|Шаблон:ПозКарта Bosnia and Herzegovina|Шаблон:ПозКарта Босна и Херцеговина
r|Шаблон:Attribution|Шаблон:Припишување
r|Шаблон:•w|Шаблон:•wrap
r|Шаблон:Table chess pieces|Шаблон:Шаховски фигури
r|Шаблон:Mineral identification|Шаблон:Распознавање на минералите
r|Шаблон:Инфокутија Фонт|Шаблон:Печатарски слог
r|Шаблон:ПозКарта Cyprus|Шаблон:ПозКарта Кипар
r|Шаблон:Инфокутија соѕвездие|Шаблон:Инфокутија Соѕвездие
r|Шаблон:Транспорт-никулец|Шаблон:Сообраќај-никулец
r|Шаблон:Country data Lombardy|Шаблон:Country data Ломбардија
r|Шаблон:Nee|Шаблон:Моминско
r|Шаблон:Caution|Шаблон:Предупредување
r|Шаблон:Infobox military conflict|Шаблон:Инфокутија Вооружен судир
r|Шаблон:Country data New Hampshire|Шаблон:Country data Њу Хемпшир
r|Шаблон:Комунист|Шаблон:Корисник Комунист
r|Шаблон:Портал:Македонија/Град|Шаблон:Портал:Република Македонија/Град
r|Шаблон:Мекотел-никулец|Шаблон:Мекотелец-никулец
r|Шаблон:Нобелова награда за литература 1926-1950|Шаблон:Нобелова награда за литература
r|Шаблон:Cycling data SBS|Шаблон:Cycling data TTS
r|Шаблон:Country data Gagauzia|Шаблон:Country data Гагаузија
r|Шаблон:Infobox referendum|Шаблон:Инфокутија Референдум
r|Шаблон:Infobox Taupo district|Шаблон:Инфокутија-Таупо (округ)
r|Шаблон:ЛЕТ|Шаблон:ЛАТ
r|Шаблон:NuclidesComplete|Шаблон:Табела на нуклиди
r|Шаблон:Мечување-никулец|Шаблон:Мечувалство-никулец
r|Шаблон:Country data SRJ|Шаблон:Country data СР Југославија
r|Шаблон:Никулец од областа на економијата|Шаблон:Економија-никулец
r|Шаблон:Taxonomy/Трибосфениди|Шаблон:Автотаксономија/Трибосфениди
r|Шаблон:Country data South Sudan|Шаблон:Country data Јужен Судан
r|Шаблон:Country data SIN|Шаблон:Country data Сингапур
r|Шаблон:Euro-stadium-stub|Шаблон:Евро-стадион-никулец
r|Шаблон:Template doc page|Шаблон:Потстраница за документација
r|Шаблон:Governorates of Jordan|Шаблон:Области во Јордан
r|Шаблон:Country data IDN|Шаблон:Country data Индонезија
r|Шаблон:Taxonomy/Homo sapiens sapiens|Шаблон:Автотаксономија/Човек
r|Шаблон:Country data Congo, Democratic Republic of|Шаблон:Country data ДР Конго
r|Шаблон:Градови во Нордзаксен (округ)|Шаблон:Градови во Северна Саксонија (округ)
r|Шаблон:Scotland-geo-stub|Шаблон:Шкотска-гео-никулец
r|Шаблон:Фудбалски екипи во првата фудбалска лига на Македонија 2006/2007|Шаблон:Прва фудбалска лига на Македонија 2006/2007
r|Шаблон:Footnote|Шаблон:Фуснота
r|Шаблон:First and second-level administrative divisions of Kenya|Шаблон:Покраини во Кенија
r|Шаблон:Location map Хрватска|Шаблон:ПозКарта Хрватска
r|Шаблон:United Kingdom constituents and affiliations|Шаблон:Обединето Кралство
r|Шаблон:Добитници на Златен венец (1966–1990)|Шаблон:Добитници на Златен венец
r|Шаблон:Infobox Austrian district|Шаблон:Округ во Австрија
r|Шаблон:КОР|Шаблон:КОРз
r|Шаблон:Telecomm-stub|Шаблон:Телеком-никулец
r|Шаблон:Country data EU|Шаблон:Country data Европска Унија
r|Шаблон:Country data URY|Шаблон:Country data Уругвај
r|Шаблон:Infobox Road|Шаблон:Инфокутија Пат
r|Шаблон:US-band-stub|Шаблон:САД-музичка-група-никулец
r|Шаблон:Пов|Шаблон:Повлечено
r|Шаблон:Country data Aosta Valley|Шаблон:Country data Аостинска Долина
r|Шаблон:Држави и територии во Јужна Америка|Шаблон:Држави и територии во Америка
r|Шаблон:Country data GRN|Шаблон:Country data Гренада
r|Шаблон:Non-free New Zealand Crown Copyright|Шаблон:НЗКрунаАп
r|Шаблон:Shortcut|Шаблон:Кратенка
r|Шаблон:Палео-никулец|Шаблон:Палеонтологија-никулец
r|Шаблон:Resize|Шаблон:Големина
r|Шаблон:Земји од Европа|Шаблон:Држави во Европа
r|Шаблон:Country data DMA|Шаблон:Country data Доминика
r|Шаблон:Корисник европеец|Шаблон:Корисник ЕУ
r|Шаблон:Монти Питон|Шаблон:Монти Пајтон
r|Шаблон:Swiss populations data CH-SG|Шаблон:Население на кантон CH-SG
r|Шаблон:Инфокутија Биографија|Шаблон:Инфокутија за личност
r|Шаблон:Цркви-Никулец|Шаблон:Црква-никулец
r|Шаблон:Collapsible list|Шаблон:Расклопен список
r|Шаблон:Italy|Шаблон:Италија
r|Шаблон:СродКат|Шаблон:Поврзанакат
r|Шаблон:GEO|Шаблон:ГРУ
r|Шаблон:Infobox Church|Шаблон:Инфокутија Црква
r|Шаблон:UK-struct-stub|Шаблон:ОК-градба-никулец
r|Шаблон:Country data Puglia|Шаблон:Country data Апулија
r|Шаблон:Country data Côte d'Ivoire|Шаблон:Country data Брег на Слоновата Коска
